id,name,description,actor,input_data,output_data,dependencies,tags
task_020,FTA 혜택 조회,특정 품목 수출 시 활용 가능한 FTA 협정과 예상 절세액을 조회합니다.,user,품목코드;수출국,FTA목록;절세액,,조회;세무;분석
task_021,제품 카탈로그 이미지 생성,제품 컨셉 설명을 바탕으로 마케팅용 제품 연출 이미지를 생성합니다.,user,제품설명;컨셉키워드,마케팅이미지,,생성;이미지;디자인
task_022,송장(Invoice) 데이터 추출(OCR),PDF나 이미지 형태의 인보이스에서 날짜, 금액, 품목 등 핵심 데이터를 추출하여 ERP에 입력합니다.,system,인보이스이미지,구조화된데이터,,추출;OCR;자동화
task_023,컨테이너 적재 시뮬레이션,포장 규격과 수량을 입력하면 컨테이너 적재 효율을 극대화하는 적재 패턴을 시뮬레이션합니다.,user,패킹리스트;컨테이너규격,3D적재도;적재율,,시뮬레이션;물류;최적화
task_024,해외 바이어 발굴,특정 품목을 수입하는 해외 잠재 바이어 리스트를 무역 데이터를 통해 발굴합니다.,user,타겟품목;국가,잠재바이어리스트,,발굴;검색;영업
task_025,규제 준수(Compliance) 체크,수출 예정 품목이 타겟 국가의 수입 금지 품목이거나 전략 물자인지 사전 스크리닝합니다.,system,품목정보;도착국,규제준수여부;경고,,검토;법률;리스크
task_026,SNS 마케팅 문구 작성,제품 홍보를 위한 링크드인/페이스북용 마케팅 문구와 해시태그를 자동 생성합니다.,user,제품특장점;타겟고객,SNS포스팅,,생성;마케팅;카피
task_027,클레임 대응 메일 작성,제품 불량 등 클레임 접수 시, 사과 및 해결 방안을 담은 정중한 대응 메일을 작성합니다.,user,클레임내용;보상안,대응메일초안,,생성;CS;텍스트
task_028,시장 진입 전략 리포트,타겟 국가의 경제 지표, 경쟁 현황, 소비자 트렌드를 종합하여 진입 전략 리포트를 생성합니다.,system,국가;품목,전략리포트,,생성;분석;기획
task_029,수입 통관 진행상황 추적,B/L 번호를 입력하면 관세청 유니패스와 연동하여 현재 통관 진행 단계를 실시간 조회합니다.,user,BL번호,통관진행상태,,조회;물류;모니터링
task_030,회의록 자동 요약 및 할일 추출,바이어와의 미팅 녹취록이나 텍스트를 분석하여 핵심 내용 요약 및 Action Item을 추출합니다.,system,회의록텍스트,요약본;ToDo리스트,,요약;분석;업무지원
